id;type;mission;name;organisation;city;bundesland;lat;lng;link;keywords;foerderung_eur;thumbnail_path;video_type;video_id;video_pin_order
956454;point;waters;RecaP;PROMAN MANAGEMENT GMBH;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/956454;;26420724;;;;
101217667;point;waters;SoS2LearnDBS;Internationale Arbeitsgemeinschaft Donauforschung (IAD) - International Association for Danube Research (IAD);Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101217667;;1973125;;;;
101215230;point;waters;SWIM;BUNDESMINISTERIUM FUR LAND- UND FORSTWIRTSCHAFT | KLIMA- UND UMWELTSCHUTZ | REGIONEN UND WASSERWIRTSCHAFT;Auersthal;Niederösterreich;48,3733;16,6357;http://cordis.europa.eu/project/id/101215230;;0;;;;
101083571;point;waters;PLOTEC;AGRU KUNSTSTOFFTECHNIK GMBH;Bad Hall;Oberösterreich;48,0348;14,2091;http://cordis.europa.eu/project/id/101083571;;48656475;;;;
963603;point;waters;Current Direct;AVILOO GMBH;Biedermannsdorf;Niederösterreich;48,0835;16,3462;http://cordis.europa.eu/project/id/963603;;541750;;;;
101082073;point;waters;BeeGuards;OSTERREICHISCHER ERWERBSIMKERBUND;Deutsch Goritz;Steiermark;46,7517;15,8304;http://cordis.europa.eu/project/id/101082073;;4721875;;;;
101075710;point;waters;SEANERGY;ENNSHAFEN OO GMBH;Enns;Oberösterreich;47,5549;14,2171;http://cordis.europa.eu/project/id/101075710;;84750;;;;
101060133;point;waters;HARMONITOR;AGROVET GMBH;Enzersfeld;Niederösterreich;48,3614;16,4262;http://cordis.europa.eu/project/id/101060133;;115000;;;;
101181572;point;waters;GEORGIA;ALCHEMIA-NOVA RESEARCH & INNOVATION GEMEINNUTZIGE GMBH;Fehring;Steiermark;46,9361;16,0104;http://cordis.europa.eu/project/id/101181572;;492250;;;;
101132223;point;waters;GrapeBreed4IPM;ARBEITSGEMEINSCHAFT ZUR FORDERUNG PILZWIDERSTANDSFAHIGER REBSORTEN;Fels am Wagram;Niederösterreich;48,438;15,8186;http://cordis.europa.eu/project/id/101132223;;43000;;;;
